id,location,post_office,postcode,state
52456,Kampung Batu Arang,Labuan,87000,Labuan
52457,Kampung Cina,Labuan,87000,Labuan
52458,Kampung Gerisik,Labuan,87000,Labuan
52459,Kampung Lajau,Labuan,87000,Labuan
52460,Kampung Membijal,Labuan,87000,Labuan
52461,Kampung Parit,Labuan,87000,Labuan
52462,Kampung Pohon Batu,Labuan,87000,Labuan
52463,Kampung Sawagan,Labuan,87000,Labuan
52464,Kampung Seguking,Labuan,87000,Labuan
52465,Labuan,Labuan,87000,Labuan
52466,Layang-Layang,Labuan,87000,Labuan
52467,Ranca-Ranca,Labuan,87000,Labuan
52468,Sungai Miri,Labuan,87000,Labuan
52469,Labuan - Peti surat 80201 - 80300,Labuan,87012,Labuan
52470,Labuan - Peti surat 80001 - 80100,Labuan,87010,Labuan
52471,Labuan - Peti surat 80401 - 80500,Labuan,87014,Labuan
52472,Labuan - Peti surat 80701 - 80800,Labuan,87017,Labuan
52473,Labuan - Peti surat 80801 - 80900 ,Labuan,87018,Labuan
52474,Labuan - Peti surat 80601 - 80700,Labuan,87016,Labuan
52475,Labuan - Peti surat 80101 - 80200 ,Labuan,87011,Labuan
52476,Labuan - Peti surat 80301 - 80400,Labuan,87013,Labuan
52477,Labuan - Peti surat 80501 - 80600,Labuan,87015,Labuan
52478,Labuan - Peti surat 80901 - 81000,Labuan,87019,Labuan
52479,Labuan - Peti surat 81201 - 81300,Labuan,87022,Labuan
52480,Labuan - Peti surat 81401 - 81500,Labuan,87024,Labuan
52481,Labuan - Peti surat 81001 - 81100,Labuan,87020,Labuan
52482,Labuan - Peti surat 81101 - 81200,Labuan,87021,Labuan
52483,Labuan - Peti surat 81801 - 81900,Labuan,87028,Labuan
52484,Labuan - Peti surat 81501 - 81600,Labuan,87025,Labuan
52485,Labuan - Peti surat 81901 - 82000,Labuan,87029,Labuan
52486,Labuan - Peti surat 81601 - 81700,Labuan,87026,Labuan
52487,Labuan - Peti surat 81701 - 81800,Labuan,87027,Labuan
52488,Labuan - Peti surat 81301 - 81400,Labuan,87023,Labuan
52489,Labuan - Peti surat 82301 - 82330,Labuan,87033,Labuan
52490,Labuan - Peti surat 82001 - 82100,Labuan,87030,Labuan
52491,Labuan - Peti surat 82201 - 82300,Labuan,87032,Labuan
52492,Labuan - Peti surat 82101 - 82200,Labuan,87031,Labuan
